season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Jesse Kotze,1,1,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Jesse Kotze,1,4,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Ruben Van Tonder,2,1,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Ruben Van Tonder,2,4,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Ruben Van Tonder,2,5,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Evert Van Schalwyk,3,4,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Dian Botha,4,2,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Ameer,Dian Botha,4,4,7,runs,,7
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Jesse Kotze,1,2,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Jesse Kotze,1,3,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Jesse Kotze,1,5,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Jesse Kotze,1,6,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Ruben Van Tonder,2,2,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Ruben Van Tonder,2,3,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Ruben Van Tonder,2,6,3,runs,,3
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Evert Van Schalwyk,3,1,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Evert Van Schalwyk,3,2,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Evert Van Schalwyk,3,3,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Evert Van Schalwyk,3,5,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Evert Van Schalwyk,3,6,w1,wicket,caught,-4
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Dian Botha,4,1,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Dian Botha,4,3,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Dian Botha,4,5,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Dian Botha,4,6,w1,wicket,caught,-4
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,1,Ameer & Chibin,Chibin,Dian Botha,4,7,r,wicket,runout,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Marnus Kotze,5,1,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Marnus Kotze,5,2,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Marnus Kotze,5,6,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Zander Jansen Van Rensburg,6,1,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Zander Jansen Van Rensburg,6,2,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Zander Jansen Van Rensburg,6,5,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,James Van Der Merwe,7,3,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Vijay,Rickard Swartz,8,1,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Marnus Kotze,5,3,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Marnus Kotze,5,4,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Marnus Kotze,5,5,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Zander Jansen Van Rensburg,6,3,b,wicket,bowled,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Zander Jansen Van Rensburg,6,4,1,runs,,1
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Zander Jansen Van Rensburg,6,6,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,James Van Der Merwe,7,1,r,wicket,runout,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,James Van Der Merwe,7,2,3,runs,,3
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,James Van Der Merwe,7,4,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,James Van Der Merwe,7,5,c,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,James Van Der Merwe,7,6,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Rickard Swartz,8,2,2,runs,,2
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Rickard Swartz,8,3,r,wicket,runout,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Rickard Swartz,8,4,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Rickard Swartz,8,5,w,wicket,caught,-5
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,2,Vijay & Kieran,Kieran,Rickard Swartz,8,6,0,runs,,0
autumn2026,G10,2026-03-17,Durban Mallu's,Duck Hunters,3,Arun & Shaun,Arun,Marnus Kotze,9,1,2,runs,,2
