season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Roodt,1,1,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Roodt,1,2,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Roodt,1,3,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Roodt,1,4,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Franco,2,3,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Franco,2,6,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Goerge,3,2,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Goerge,3,3,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Goerge,3,4,1,runs,,1
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Juandre,4,1,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Juandre,4,2,r,wicket,runout,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Juandre,4,3,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Juandre,4,4,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Amir,Juandre,4,6,5,runs,,5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Roodt,1,5,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Roodt,1,6,1,runs,,1
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Franco,2,1,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Franco,2,2,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Franco,2,4,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Franco,2,5,r,wicket,runout,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Goerge,3,1,w1,wicket,caught,-4
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Goerge,3,5,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Goerge,3,6,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,1,Amir & Chibin,Chibin,Juandre,4,5,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Theo Van Heerden,5,1,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Theo Van Heerden,5,4,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Theo Van Heerden,5,6,1,runs,,1
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Kirsten,6,1,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Kirsten,6,3,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Kirsten,6,5,1,runs,,1
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Wimpie,7,1,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Gerhad,8,4,3,runs,,3
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Ashwin,Gerhad,8,6,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Theo Van Heerden,5,2,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Theo Van Heerden,5,3,c,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Theo Van Heerden,5,5,1,runs,,1
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Kirsten,6,2,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Kirsten,6,4,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Kirsten,6,6,nb,extra,noball,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Wimpie,7,2,0,runs,,0
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Wimpie,7,3,2,runs,,2
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Wimpie,7,4,r,wicket,runout,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Wimpie,7,5,w,wicket,caught,-5
autumn2026,G12,2026-04-15,Durban Mallu's,Akkerkop Arende,2,Ashwin & Kieran,Kieran,Wimpie,7,6,1,runs,,1
