season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Phen10,1,1,0,runs,,0
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Phen10,1,2,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Phen10,1,4,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Phen10,1,6,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Mekyle,2,1,2,runs,,2
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Mekyle,2,4,2,runs,,2
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Mekyle,2,6,2,runs,,2
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Eckhard,3,1,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Eckhard,3,3,c,wicket,caught,-5
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Eckhard,3,5,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Jason Edrs,4,1,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Jason Edrs,4,3,w,wicket,caught,-5
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Jason Edrs,4,4,w,wicket,caught,-5
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Don,Jason Edrs,4,5,2,runs,,2
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Akhil,Phen10,1,3,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Akhil,Phen10,1,5,1,runs,,1
autumn2026,G13,2026-04-23,Durban Mallu's,Haduuuuken,1,Don & Akhil,Akhil,Mekyle,2,2,w,wicket,caught,-5
