season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Chibin,1,1,3,runs,,3
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Chibin,1,4,3,runs,,3
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Chibin,1,6,nb,extra,noball,2
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Edric Cilliers,2,2,0,runs,,0
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Edric Cilliers,2,3,c,wicket,caught,-5
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Edric Cilliers,2,6,2,runs,,2
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Zayne,3,2,w,wicket,caught,-5
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Zayne,3,3,c,wicket,caught,-5
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Zayne,3,5,2,runs,,2
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Robbie Last,4,1,c,wicket,caught,-5
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Robbie Last,4,3,s,wicket,stumped,-5
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Robbie Last,4,4,1,runs,,1
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Unspecified,Robbie Last,4,6,0,runs,,0
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Chibin,1,2,0,runs,,0
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Chibin,1,3,2,runs,,2
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Chibin,1,5,4,runs,,4
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Edric Cilliers,2,1,2,runs,,2
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Edric Cilliers,2,4,0,runs,,0
autumn2026,G16,2026-05-12,Durban Mallu's,Morning Wood Warriors,1,Unspecified & Akhil,Akhil,Edric Cilliers,2,5,2,runs,,2
