season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Jacque,1,1,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Jacque,1,4,nb,extra,noball,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Jacque,1,5,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Jacque,1,6,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Waldo Buffel,2,1,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Waldo Buffel,2,3,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Waldo Buffel,2,5,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Peanut,3,2,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Peanut,3,4,7,runs,,7
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Stef,4,3,7,runs,,7
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Nithin,Stef,4,5,4,runs,,4
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Jacque,1,2,ls,extra,legside,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Jacque,1,3,4,runs,,4
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Waldo Buffel,2,2,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Waldo Buffel,2,4,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Waldo Buffel,2,6,r,wicket,runout,-5
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Peanut,3,1,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Peanut,3,3,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Peanut,3,5,ls,extra,legside,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Peanut,3,6,3,runs,,3
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Stef,4,1,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Stef,4,2,3,runs,,3
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Stef,4,4,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,1,Nithin & Akhil,Akhil,Stef,4,6,4,runs,,4
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Quan,5,1,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Quan,5,2,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Quan,5,4,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Quan,5,5,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Duran Nassif,6,1,5,runs,,5
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Duran Nassif,6,5,nb,extra,noball,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Duran Nassif,6,6,3,runs,,3
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Tolla,7,1,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Tolla,7,2,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Tolla,7,5,1,runs,,1
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Steven,8,2,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Steven,8,3,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Arun,Steven,8,5,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Quan,5,3,2,runs,,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Quan,5,6,0,runs,,0
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Duran Nassif,6,2,ls,extra,legside,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Duran Nassif,6,3,nb,extra,noball,2
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Duran Nassif,6,4,c,wicket,caught,-5
autumn2026,G17,2026-05-21,Durban Mallu's,DLH,2,Arun & Kiran Varghese,Kiran Varghese,Tolla,7,3,b,wicket,bowled,-5
