season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Josh,1,1,5,runs,,5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Josh,1,3,7,runs,,7
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Josh,1,5,7,runs,,7
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Zazu,2,6,w,wicket,caught,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,"Puddin """,3,2,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,"Puddin """,3,3,w1,wicket,caught,-4
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,"Puddin """,3,5,r,wicket,runout,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,"Puddin """,3,6,w,wicket,caught,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Jordan,4,3,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Amir,Jordan,4,6,3,runs,,3
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Josh,1,2,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Josh,1,4,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Josh,1,6,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Zazu,2,1,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Zazu,2,2,w,wicket,caught,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Zazu,2,3,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Zazu,2,4,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Zazu,2,5,1,runs,,1
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,"Puddin """,3,1,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,"Puddin """,3,4,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Jordan,4,1,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Jordan,4,2,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Jordan,4,4,s,wicket,stumped,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,1,Amir & Chiban,Chiban,Jordan,4,5,1,runs,,1
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Sticky,5,1,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Sticky,5,4,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Josh,6,2,w,wicket,caught,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Josh,6,3,w,wicket,caught,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Josh,6,4,2,runs,,2
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Tim .,7,1,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Tim .,7,2,1,runs,,1
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Tim .,7,6,s,wicket,stumped,-5
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Siphe,8,2,0,runs,,0
spring2025,G5,2025-11-25,Durban Mallu's,Just The Tip And Run 22,2,Vijay . & Kiaran V,Vijay .,Siphe,8,3,1,runs,,1
